receiver_pseudo,sender_pseudo,t_curr,dt,dist,speed_curr,dv,jerk,acc_curr,dacc,dtheta,heading_rate,rate_msgs_per_s,pos_conf_x_curr,pos_conf_y_curr,spd_conf_x_curr,spd_conf_y_curr,acc_conf_x_curr,acc_conf_y_curr,head_conf_x_curr,head_conf_y_curr,node_degree,avg_dist_neighbors,historical_trust,estimated_energy,label,attack_id
-1,1,16283.126670419,0.3333333333994233,11.417404779797494,1.5916632466101208,0.0208915232916009,0.0284665644584175,1.583812987383334,0.0094888548213538,0.0074357435723313,0.0223072307125711,0.0397153259897023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.96,0.9998973472279218,1,16
-1,1,17644.2972628998,1.3333333332993789,1193.502730344398,1.043047237495054,-1.1119692356023505,-0.8251858878709696,1.0325248234040196,-1.1002478504666071,-1.0231397851542736,-0.7673548388852466,0.0397153259897023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.8880000000000001,0.999790393579672,1,16
-1,1,17647.4639295664,3.1666666665987577,902.0273926032696,0.3715655045766597,-0.6714817329183942,-0.2090612593008371,0.3704975022988992,-0.6620273211051204,2.3646679244466258,0.7467372393149482,0.0397153259897023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.8304000000000001,0.999684510459183,1,16
-1,1,17648.9639295664,1.5,962.5459101484508,1.0392431932322193,0.6676776886555595,0.4345307502998983,1.0222936277487469,0.6517961254498474,-0.1654811592072396,-0.1103207728048264,0.0397153259897023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.7843200000000001,0.9995767161352338,1,16
-1,1,17667.4639295664,2.8333333333976043,12.132422911124412,1.4523382642442502,0.0099442288521856,0.0,1.4365703777669727,0.0,-0.0270263845089786,-0.009538723944129,0.0397153259897023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.7874560000000002,0.9994561413431564,1,16
-1,1,17669.4639295664,2.0,0.6741195885672755,1.411753810622251,-0.0405844536219992,0.0,1.4365703777669727,0.0,0.004395186543467,0.0021975932717335,0.0397153259897023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.7899648000000002,0.9993420238050502,1,16
-1,1,17671.9639295663,2.4999999999017746,12.473059831119118,1.4496646966859077,0.0379108860636567,0.0,1.4365703777669727,0.0,0.0068117154551949,0.002724686182185,0.0397153259897023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.7919718400000003,0.9992239029963425,1,16
-1,1,17676.2972628997,4.333333333401242,12.462738370534224,1.4508454299486937,0.0011807332627857,0.0,1.4365703777669727,0.0,-0.0084934035891488,-0.0019600162128497,0.0397153259897023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.7935774720000003,0.9990924680120264,1,16
-1,1,17682.2972628996,0.1666666665987577,13.055891408619138,1.460963752910582,0.0830734373583976,0.0,1.4365703777669727,0.0,0.0005388857212467,0.0032333143287977,0.0397153259897023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.7548619776000003,0.9989912505422328,1,16
-1,1,17684.9639295663,2.666666666700621,12.315815806156412,1.4529406552647997,-0.0080230976457822,0.0,1.4365703777669727,0.0,-0.016741706250229,-0.0062781398437559,0.0397153259897023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.7638895820800004,0.9988718780001624,1,16
